time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,latitude,longitude,elevation,u,v,canyon_factor,windward_height_avg,leeward_height_avg,road_distance,indicatedspeed_kph
2021-10-17,12.2,7.8,16.9,0.8,,181.0,7.7,25.9,1017.4,,51.546375,-0.46061,47.51951219512194,2.701139534096245,-7.210675780905859,7.7,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-10-18,12.3,5.6,16.8,0.3,,183.0,10.0,33.3,1016.3,,51.546375,-0.46061,47.51951219512194,7.055296442942059,7.086804082392084,10.0,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-10-19,17.7,16.3,19.9,1.5,,221.0,21.8,48.2,1011.8,,51.546375,-0.46061,47.51951219512194,10.11088715362711,19.31346579375691,0,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-10-20,15.6,10.6,18.7,18.3,,223.0,19.9,46.3,998.9,,51.546375,-0.46061,47.51951219512194,-19.871974275918316,1.055764356871712,0,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-10-21,9.0,4.8,11.7,20.1,,304.0,19.3,44.5,1007.0,,51.546375,-0.46061,47.51951219512194,-14.323965921962808,12.934991312963769,38.6,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-10-22,8.8,4.8,13.4,0.0,,268.0,15.2,35.2,1020.9,,51.546375,-0.46061,47.51951219512194,-8.659828524755634,-12.491892167395163,30.4,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-10-23,11.2,9.2,13.7,0.0,,208.0,8.4,27.8,1024.9,,51.546375,-0.46061,47.51951219512194,6.662191700370501,5.116170613604907,8.4,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-10-24,12.9,11.4,15.5,0.0,,190.0,13.2,33.3,1018.1,,51.546375,-0.46061,47.51951219512194,0.8752505302425887,13.170950478583922,13.2,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-10-25,12.1,9.0,16.8,0.5,,234.0,9.8,29.6,1015.0,,51.546375,-0.46061,47.51951219512194,0.47660830528189735,9.788403573787521,0,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-10-26,12.5,6.4,17.0,0.5,,223.0,12.0,33.3,1018.0,,51.546375,-0.46061,47.51951219512194,-11.983100065880391,0.6366418232392235,0,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-10-27,15.2,14.4,16.8,0.0,,223.0,21.3,46.3,1018.0,,51.546375,-0.46061,47.51951219512194,-21.270002616937695,1.1300392362496217,0,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-10-28,13.9,12.4,15.8,0.0,,183.0,17.8,40.8,1009.0,,51.546375,-0.46061,47.51951219512194,12.558427668436867,12.61451126665791,17.8,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-10-29,13.2,9.3,15.2,1.5,,195.0,20.3,42.6,998.4,,51.546375,-0.46061,47.51951219512194,19.80514076776472,4.454929760279492,20.3,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-10-30,11.0,8.3,14.9,2.0,,199.0,14.5,35.2,996.9,,51.546375,-0.46061,47.51951219512194,-6.838572831538712,-12.786083122979477,14.5,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-10-31,11.1,6.6,15.4,2.0,,190.0,21.4,50.0,993.1,,51.546375,-0.46061,47.51951219512194,1.418966768726621,21.352904563764845,21.4,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-11-01,9.4,2.8,13.2,7.9,,242.0,18.5,40.8,994.4,,51.546375,-0.46061,47.51951219512194,-18.412378566165746,-1.79842028908715,0,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-02,4.9,0.1,12.4,0.0,,302.0,3.2,16.7,999.0,,51.546375,-0.46061,47.51951219512194,2.9384667228392782,1.2670490593367703,6.4,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-03,4.9,-1.0,9.2,0.3,,318.0,8.3,24.1,1004.5,,51.546375,-0.46061,47.51951219512194,-6.352775616220545,-5.341558009602974,16.6,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-04,6.7,2.5,9.3,0.5,,335.0,15.5,37.0,1015.0,,51.546375,-0.46061,47.51951219512194,-6.3256985174694,14.150460708616007,31.0,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-05,5.1,-1.9,10.1,0.0,,256.0,7.2,20.4,1026.4,,51.546375,-0.46061,47.51951219512194,-0.2864934715043355,-7.194297845570851,14.4,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-06,10.7,7.2,12.6,0.0,,246.0,18.8,40.8,1024.7,,51.546375,-0.46061,47.51951219512194,10.847178099857492,15.355087992908802,37.6,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-07,9.6,4.8,12.3,0.0,,292.0,17.4,38.9,1021.2,,51.546375,-0.46061,47.51951219512194,-17.154688291773304,2.9114720696060026,34.8,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-08,7.3,0.8,11.6,0.0,,234.0,6.0,20.4,1023.7,,51.546375,-0.46061,47.51951219512194,0.2918010032338147,5.992900147216849,0,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-09,12.8,10.1,15.4,0.0,,228.0,11.7,25.9,1023.3,,51.546375,-0.46061,47.51951219512194,-2.718944528373715,11.379689831081805,0,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-10,12.1,10.0,13.7,0.0,,218.0,5.4,16.7,1022.9,,51.546375,-0.46061,47.51951219512194,-1.8043396433469236,-5.089632447578774,0,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-11-11,11.6,8.3,14.0,0.5,,221.0,7.0,18.5,1022.5,,51.546375,-0.46061,47.51951219512194,3.246615141072925,6.201571585151302,0,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-11-12,11.5,6.6,15.4,0.0,,214.0,15.7,37.0,1011.6,,51.546375,-0.46061,47.51951219512194,14.62786919594145,5.7022313866088625,0,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-11-13,11.4,9.8,12.5,1.0,,308.0,13.2,29.6,1015.8,,51.546375,-0.46061,47.51951219512194,13.098779016420137,1.6315600752014903,26.4,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-14,11.2,9.7,12.8,0.0,,12.0,11.4,24.1,1024.0,,51.546375,-0.46061,47.51951219512194,9.619935129550411,-6.116931265204959,11.4,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-11-15,9.2,3.9,11.7,0.0,,16.0,5.9,14.8,1027.0,,51.546375,-0.46061,47.51951219512194,-5.65019093390797,-1.6986295683238855,5.9,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-11-16,6.8,0.6,11.3,0.0,,256.0,5.0,16.7,1022.9,,51.546375,-0.46061,47.51951219512194,-0.19895379965578855,-4.996040170535314,10.0,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-17,7.4,3.6,12.0,0.3,,276.0,7.2,22.2,1024.2,,51.546375,-0.46061,47.51951219512194,6.451087203886347,-3.197416752294551,14.4,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-18,9.4,4.1,13.9,0.0,,252.0,10.3,27.8,1028.9,,51.546375,-0.46061,47.51951219512194,8.056784732405394,6.417025773337627,20.6,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-19,11.4,10.5,12.3,0.0,,267.0,8.1,20.4,1030.6,,51.546375,-0.46061,47.51951219512194,-8.094932237430116,0.28648223577502596,16.2,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-20,10.0,7.9,10.7,0.0,,256.0,9.5,20.4,1024.1,,51.546375,-0.46061,47.51951219512194,-0.3780122193459982,-9.492476324017096,19.0,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-21,6.3,4.0,8.6,0.0,,357.0,17.9,37.0,1019.8,,51.546375,-0.46061,47.51951219512194,7.449519013084131,-16.276199386641157,35.8,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-22,5.5,3.5,9.5,0.0,,24.0,15.6,31.5,1030.1,,51.546375,-0.46061,47.51951219512194,6.617192514457153,-14.127022447303332,15.6,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-11-23,3.5,-0.1,9.5,0.0,,323.0,4.3,14.8,1032.3,,51.546375,-0.46061,47.51951219512194,-3.5872319248713445,2.3710265956297985,8.6,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-11-24,5.3,2.0,7.4,0.3,,302.0,4.1,14.8,1022.1,,51.546375,-0.46061,47.51951219512194,3.7649104886378244,1.6234066072752364,8.2,2.266666666666667,3.985714285714285,66.82802055524162,48
