,geometry,osid,theme,changetype,name1_text,name2_text,description,versiondate,name1_language,name2_language,routehierarchy,formspartofstreet,geometry_length_m,alternatename1_text,alternatename2_text,averagespeed_source,versionavailabletodate,alternatename1_language,alternatename2_language,averagespeed_updatedate,indicativespeedlimit_kph,indicativespeedlimit_mph,roadclassificationnumber,versionavailablefromdate,averagespeed_evidencedate,indicativespeedlimit_source,indicativespeedlimit_updatedate,averagespeed_mf4to7capturemethod,averagespeed_mf7to9capturemethod,averagespeed_ss4to7capturemethod,averagespeed_mf22to4capturemethod,averagespeed_mf9to12capturemethod,averagespeed_ss22to4capturemethod,averagespeed_ss7to10capturemethod,indicativespeedlimit_evidencedate,averagespeed_mf12to14capturemethod,averagespeed_mf14to16capturemethod,averagespeed_mf16to19capturemethod,averagespeed_mf19to22capturemethod,averagespeed_mf4to7indirection_kph,averagespeed_mf7to9indirection_kph,averagespeed_ss10to14capturemethod,averagespeed_ss14to19capturemethod,averagespeed_ss19to22capturemethod,averagespeed_ss4to7indirection_kph,indicativespeedlimit_capturemethod,averagespeed_mf22to4indirection_kph,averagespeed_mf9to12indirection_kph,averagespeed_ss22to4indirection_kph,averagespeed_ss7to10indirection_kph,averagespeed_mf12to14indirection_kph,averagespeed_mf14to16indirection_kph,averagespeed_mf16to19indirection_kph,averagespeed_mf19to22indirection_kph,averagespeed_ss10to14indirection_kph,averagespeed_ss14to19indirection_kph,averagespeed_ss19to22indirection_kph,averagespeed_mf4to7againstdirection_kph,averagespeed_mf7to9againstdirection_kph,averagespeed_ss4to7againstdirection_kph,averagespeed_mf22to4againstdirection_kph,averagespeed_mf9to12againstdirection_kph,averagespeed_ss22to4againstdirection_kph,averagespeed_ss7to10againstdirection_kph,averagespeed_mf12to14againstdirection_kph,averagespeed_mf14to16againstdirection_kph,averagespeed_mf16to19againstdirection_kph,averagespeed_mf19to22againstdirection_kph,averagespeed_ss10to14againstdirection_kph,averagespeed_ss14to19againstdirection_kph,averagespeed_ss19to22againstdirection_kph,distance_to_point,bearing_to_point,site
6,"LINESTRING (258005.19281352207 666633.8431427837, 258005.86743170273 666633.4088669965, 258039.87211577682 666612.3991031724, 258057.3792736225 666599.716876351)",24a7055c-52d9-4694-9a03-eade910c91c8,Transport,Modified Attributes,Great Western Road,,Average And Indicative Speed,2023-09-29,,,A Road,"['8011579', '8005888']",62.394,,,Basemap,,,,2023-08-17,48,30,A82,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2019-11-18,Field Survey,Field Survey,Field Survey,Field Survey,45.9,42.8,Field Survey,Field Survey,Field Survey,45.1,Desk-Based,42.8,39.6,42.7,45.4,40.1,37.7,36.2,39.0,41.8,34.6,41.5,52.1,42.5,59.7,47.6,40.6,33.8,47.0,40.4,33.6,36.5,40.1,43.0,39.8,34.0,17.737650099398884,189.90028653329327,GGWR
7,"LINESTRING (257925.81710303554 666684.4126241959, 257968.86737565216 666657.4021736232, 257978.1080594492 666651.4069064645)",365d5ee1-de44-4d68-9cbe-a4a88a8753c6,Transport,Modified Attributes,Great Western Road,,Average And Indicative Speed,2023-09-29,,,A Road,"['8005888', '8011579']",61.839,,,Basemap,,,,2023-08-17,48,30,A82,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2019-11-18,Field Survey,Field Survey,Field Survey,Field Survey,46.5,34.0,Field Survey,Field Survey,Field Survey,46.5,Desk-Based,44.7,32.4,42.8,37.3,29.1,27.8,29.6,32.4,20.3,32.0,31.7,45.7,33.0,58.7,46.5,29.5,44.6,42.7,27.0,26.2,26.7,34.9,28.7,27.4,33.6,28.06105646467404,275.1935275740281,GGWR
8,"LINESTRING (258033.87097373407 666673.401589286, 258014.76172491562 666646.4274768608)",4bbe79d7-4540-45e9-9883-b3f8768fc680,Transport,Modified Attributes,Cromwell Street,,Average And Indicative Speed,2023-09-29,,,Local Road,['8001449'],33.057,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,,Automated Process,Automated Process,Automated Process,Automated Process,26.7,23.0,Automated Process,Automated Process,Automated Process,28.8,Desk-Based,25.8,22.2,26.1,26.7,22.9,23.2,24.0,24.9,25.3,24.9,26.2,26.7,23.0,28.8,25.8,22.2,26.1,26.7,22.9,23.2,24.0,24.9,25.3,24.9,26.2,10.005999282214951,51.777841822019866,GGWR
9,"LINESTRING (258039.85164192933 666560.4494460567, 258030.87044363416 666544.4039411573)",5487cf70-8ca8-490f-af12-c7bb242d4479,Transport,Modified Attributes,Melrose Street,,Average And Indicative Speed,2023-09-29,,,Restricted Local Access Road,['8001964'],18.39,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,,Automated Process,Automated Process,Automated Process,Automated Process,21.6,18.2,Automated Process,Automated Process,Automated Process,23.8,Automated Process,21.2,18.5,21.1,20.1,21.2,12.9,18.0,19.6,17.9,18.2,20.9,21.6,18.2,23.8,21.2,18.5,21.1,20.1,21.2,12.9,18.0,19.6,17.9,18.2,20.9,97.13168709467108,208.64553523819424,GGWR
10,"LINESTRING (257935.5122138139 666601.3121362127, 257931.86753733322 666595.4058745739, 257902.87120949902 666550.4005808255)",5957f645-1836-4979-a0b2-dae3232c018f,Transport,Modified Attributes,Carrington Street,,Average And Indicative Speed,2023-09-29,,,Local Road,['8001336'],60.474,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Automated Process,Field Survey,Automated Process,Automated Process,,Field Survey,Field Survey,Field Survey,Field Survey,22.2,18.4,Automated Process,Field Survey,Automated Process,28.8,Automated Process,25.8,17.9,26.1,26.7,14.2,15.1,20.3,10.1,25.3,28.8,26.2,29.6,16.6,28.8,25.8,10.5,26.1,26.7,13.7,29.5,23.5,24.5,25.3,28.8,26.2,86.69821657842274,107.51159703358462,GGWR
11,"LINESTRING (258057.3792736225 666599.716876351, 258058.29842235017 666592.8030713816)",7ae3898f-e454-4b97-af2e-de48916b1567,Transport,Modified Attributes,West Graham Street,,Average And Indicative Speed,2023-09-29,,,A Road,"['8005888', '8011679']",6.97,Great Western Road,,Basemap,,,,2023-08-17,48,30,A82,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2016-06-16,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,60.7,48.0,68.4,55.7,56.5,51.2,62.1,56.2,47.6,53.3,50.4,59.4,57.9,49.7,72.86699760494763,214.84369533053516,GGWR
12,"LINESTRING (258055.50293823343 666656.2733186511, 258042.89856382058 666666.255045107, 258033.87097373407 666673.401589286)",7e9604a9-8107-4a32-aec5-e46740bc8e07,Transport,Modified Attributes,Cromwell Lane,,Average And Indicative Speed,2023-09-29,,,Restricted Local Access Road,['8001448'],27.59,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Field Survey,Automated Process,Automated Process,,Automated Process,Automated Process,Field Survey,Automated Process,19.0,15.5,Automated Process,Automated Process,Automated Process,20.8,Desk-Based,17.9,3.9,19.2,18.8,14.2,15.5,22.4,16.3,15.5,15.1,16.3,19.0,15.5,20.8,17.9,3.9,19.2,18.8,14.2,15.5,22.4,16.3,15.5,15.1,16.3,35.28079771553955,72.20792354534694,GGWR
13,"LINESTRING (257968.09536660954 666575.3472732989, 257977.11610804874 666582.1017779553)",9012abcb-c39b-4f12-b8ff-75974d55cc46,Transport,Modified Attributes,,,Average And Indicative Speed,2023-09-29,,,Restricted Secondary Access Road,[],11.277,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-02-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,,Automated Process,Automated Process,Automated Process,Automated Process,25.9,22.1,Automated Process,Automated Process,Automated Process,30.6,Automated Process,29.8,19.3,26.4,24.6,19.0,19.5,21.2,22.2,21.2,21.1,23.0,25.9,22.1,30.6,29.8,19.3,26.4,24.6,19.0,19.5,21.2,22.2,21.2,21.1,23.0,75.28383395618293,152.66633974923013,GGWR
14,"LINESTRING (258100.86881291517 666758.4068216517, 258093.7725984554 666749.4057760885, 258070.86926647328 666720.339360153, 258033.87097373407 666673.401589286)",b426cb47-f21b-478c-8dfe-a95abfa61524,Transport,Modified Attributes,Cromwell Street,,Average And Indicative Speed,2023-09-29,,,Local Road,['8001449'],108.231,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Field Survey,,Field Survey,Field Survey,Field Survey,Automated Process,26.7,23.0,Field Survey,Automated Process,Automated Process,28.8,Automated Process,25.8,22.2,26.1,19.2,10.0,13.2,30.3,24.9,28.2,24.9,26.2,26.7,23.0,28.8,25.8,22.2,26.1,19.2,10.0,26.2,17.1,24.9,26.2,24.9,26.2,35.28079771553955,64.30096518923153,GGWR
15,"LINESTRING (258060.86826284893 666648.4004783595, 258070.86689700314 666663.399034171, 258076.86744299147 666672.4025879581, 258079.8687935973 666673.4068196057, 258084.8691177008 666675.403625381, 258088.8708923539 666675.4059804659, 258091.86908085388 666674.4053806757, 258094.86569293967 666672.402363153, 258095.87116698653 666670.4089842769, 258096.87002124454 666668.4046843055, 258094.87001926944 666633.4060775033, 258093.8701511776 666622.4005580181, 258092.86691924816 666621.4087256952, 258070.87006784373 666635.2517491626, 258065.8694805807 666638.4009879538, 258062.86818493687 666641.4066504976, 258060.86826284893 666648.4004783595)",b7f16f5f-8bb5-459a-bdda-a45b9c3ff0c9,Transport,Modified Attributes,Cromwell Lane,,Average And Indicative Speed,2023-09-29,,,Restricted Local Access Road,['8001448'],143.577,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,2016-11-12,Automated Process,Automated Process,Automated Process,Automated Process,21.6,18.2,Automated Process,Automated Process,Automated Process,23.8,Desk-Based,21.2,18.5,21.1,20.1,21.2,12.9,18.0,19.6,17.9,18.2,20.9,21.6,18.2,23.8,21.2,18.5,21.1,20.1,21.2,12.9,18.0,19.6,17.9,18.2,20.9,54.790355322130665,130.72130508882185,GGWR
16,"LINESTRING (258041.8474552847 666564.0151162507, 258039.85164192933 666560.4494460567)",d6618b84-5fef-4d9e-aea2-8c4f67680d24,Transport,Modified Attributes,Melrose Street,,Average And Indicative Speed,2023-09-29,,,Restricted Local Access Road,['8001964'],4.084,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,,Automated Process,Automated Process,Automated Process,Automated Process,21.6,18.2,Automated Process,Automated Process,Automated Process,23.8,Automated Process,21.2,18.5,21.1,20.1,21.2,12.9,18.0,19.6,17.9,18.2,20.9,21.6,18.2,23.8,21.2,18.5,21.1,20.1,21.2,12.9,18.0,19.6,17.9,18.2,20.9,94.53049491245099,211.8760536573684,GGWR
17,"LINESTRING (258075.8665350101 666585.409748137, 258065.89720541937 666597.6440294981, 258057.3792736225 666599.716876351)",d709ad84-059f-4605-ad89-f39e0ae0b62a,Transport,Modified Attributes,West Graham Street,,Average And Indicative Speed,2023-09-29,,,A Road,"['8011679', '8005888']",24.556,Great Western Road,,Basemap,,,,2023-08-17,48,30,A82,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2015-12-31,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Desk-Based,,,,,,,,,,,,41.7,39.1,39.6,38.0,44.1,38.8,42.7,42.0,32.7,34.9,34.6,44.6,37.3,42.0,72.86699760494763,222.68076937653393,GGWR
18,"LINESTRING (258091.37822172092 666559.0481515636, 258077.8721077766 666582.4033544356, 258075.8665350101 666585.409748137)",e84034d6-c9e7-4441-b402-084549ed05f9,Transport,Modified Attributes,West Graham Street,,Average And Indicative Speed,2023-11-10,,,A Road,"['8005888', '8011679']",30.59,Great Western Road,,Basemap,,,,2023-08-17,48,30,A82,2023-11-11T00:00:00Z,,Basemap,2023-02-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,,,Field Survey,Field Survey,Field Survey,,Automated Process,,,,,,,,,,,,50.9,51.8,43.1,47.3,51.5,48.0,53.3,50.5,50.2,49.7,50.1,51.2,50.4,49.1,96.08764792906356,246.09724572520696,GGWR
19,"LINESTRING (257936.7229443779 666528.1586600867, 257950.91385436745 666551.9858376582, 257962.31665032738 666569.8675017467, 257963.68432614085 666572.0391663768, 257968.09536660954 666575.3472732989)",efd6fc78-c38d-4d12-8eb4-49d2293a560a,Transport,Modified Attributes,,,Average And Indicative Speed,2023-09-29,,,Restricted Secondary Access Road,[],57.018,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,,Automated Process,Automated Process,Automated Process,Automated Process,25.9,22.1,Automated Process,Automated Process,Automated Process,30.6,Automated Process,29.8,19.3,26.4,24.6,19.0,19.5,21.2,22.2,21.2,21.1,23.0,25.9,22.1,30.6,29.8,19.3,26.4,24.6,19.0,19.5,21.2,22.2,21.2,21.1,23.0,85.18823196261728,127.26421491999008,GGWR
20,"LINESTRING (257962.65202865168 666645.2981457197, 257947.27310942908 666620.373825978)",f42360ae-68e3-48b5-8833-42f343bb9afa,Transport,Modified Attributes,Carrington Street,,Average And Indicative Speed,2023-09-29,,,Local Road,['8001336'],29.291,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-02-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,,Automated Process,Automated Process,Automated Process,Automated Process,26.7,23.0,Automated Process,Automated Process,Automated Process,28.8,Automated Process,25.8,22.2,26.1,26.7,22.9,23.2,24.0,24.9,25.3,24.9,26.2,26.7,23.0,28.8,25.8,22.2,26.1,26.7,22.9,23.2,24.0,24.9,25.3,24.9,26.2,43.96405511063641,186.50694599957257,GGWR
21,"LINESTRING (257938.8675244397 666692.40471772, 257973.87241885602 666748.407162598, 257974.46867306964 666749.4011937233, 257977.36386762932 666754.2293753768)",f8b50cf1-5901-4f19-b8f0-682273b5d61c,Transport,Modified Attributes,Burnbank Terrace,,Average And Indicative Speed,2023-09-29,,,Local Road,['8001301'],72.835,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,,Automated Process,Automated Process,Automated Process,Automated Process,26.7,23.0,Automated Process,Automated Process,Automated Process,28.8,Automated Process,25.8,22.2,26.1,26.7,22.9,23.2,24.0,24.9,25.3,24.9,26.2,26.7,23.0,28.8,25.8,22.2,26.1,26.7,22.9,23.2,24.0,24.9,25.3,24.9,26.2,78.7221410085444,310.88271826957924,GGWR
22,"LINESTRING (257947.27310942908 666620.373825978, 257935.5122138139 666601.3121362127)",fdd95306-c07f-445f-8920-944ab4c3fba0,Transport,Modified Attributes,Carrington Street,,Average And Indicative Speed,2023-09-29,,,Local Road,['8001336'],22.397,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-02-09,Field Survey,Field Survey,Automated Process,Automated Process,Field Survey,Automated Process,Automated Process,,Field Survey,Automated Process,Field Survey,Field Survey,30.1,20.9,Automated Process,Field Survey,Automated Process,28.8,Automated Process,25.8,24.1,26.1,26.7,22.4,23.2,30.6,12.2,25.3,33.0,26.2,28.3,21.2,28.8,25.8,13.4,26.1,26.7,18.4,23.2,22.4,28.3,25.3,33.0,26.2,66.64002405722945,148.10872261588537,GGWR
0,"LINESTRING (260043.28820673612 665346.3170604268, 260029.8493393477 665340.4363533981, 260026.54184384525 665339.2735816671)",1623efed-4a90-4d27-9cdc-d5d4cd0fcfa7,Transport,Modified Attributes,High Street,,Average And Indicative Speed,2023-09-29,,,A Road,"['8012239', '8012343']",18.174,,,Basemap,,,,2023-08-17,32,20,A8,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2018-02-25,Field Survey,Field Survey,Field Survey,Field Survey,40.2,37.0,Field Survey,Field Survey,Field Survey,47.8,Field Survey,48.9,39.1,36.4,44.3,22.1,38.6,38.3,22.1,43.9,42.2,43.1,47.2,46.4,52.0,46.0,23.5,48.8,43.3,41.4,14.3,12.4,41.2,24.0,30.7,45.9,16.797402309879693,117.46977165690436,GHSR
1,"LINESTRING (259999.43895613772 665262.2824905495, 260032.5219374351 665253.2260414015)",2f88db1e-b832-4864-ad95-d68251b3b9d9,Transport,Modified Attributes,Duke Street,,Average And Indicative Speed,2023-09-29,,,Minor Road,['8010117'],34.299,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,,Field Survey,Field Survey,Field Survey,Field Survey,28.7,21.9,Field Survey,Field Survey,Field Survey,38.5,Desk-Based,39.0,24.6,35.2,28.8,26.4,24.3,19.3,24.8,21.1,22.2,39.3,34.4,22.7,40.2,36.7,29.6,34.8,34.4,27.8,27.5,19.2,31.9,15.3,29.5,28.5,88.3199208173499,177.45385290500326,GHSR
2,"LINESTRING (260004.02319992307 665293.6110398198, 259999.43895613772 665262.2824905495)",4636b7dc-0ac4-413e-bc93-8fdd4f11f8c8,Transport,Modified Attributes,Burrells Lane,,Average And Indicative Speed,2023-09-29,,,Local Road,['8006865'],31.659,Burrell's Lane,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,2018-02-25,Field Survey,Automated Process,Automated Process,Automated Process,19.3,23.0,Automated Process,Automated Process,Automated Process,28.8,Field Survey,25.8,22.2,26.1,26.7,17.9,23.2,24.0,24.9,25.3,24.9,26.2,19.3,23.0,28.8,25.8,22.2,26.1,26.7,17.9,23.2,24.0,24.9,25.3,24.9,26.2,56.66101100058416,192.0926031964909,GHSR
3,"LINESTRING (260020.89026299177 665467.0235123277, 260017.68566426446 665444.4495821124)",46ad1e55-e14f-4ab9-bcee-f4d881e09d48,Transport,Modified Attributes,Collins Street,,Average And Indicative Speed,2023-09-29,,,Local Road,['8006918'],22.802,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Field Survey,Field Survey,Field Survey,Field Survey,2018-02-25,Field Survey,Field Survey,Field Survey,Field Survey,37.7,30.3,Field Survey,Field Survey,Automated Process,28.8,Field Survey,21.1,24.6,27.8,20.0,28.7,28.2,34.6,30.4,23.3,34.8,26.2,37.7,20.3,28.8,25.4,17.4,27.8,34.3,17.7,30.1,32.0,30.4,5.2,36.1,26.2,95.03513176812545,353.7119921968613,GHSR
4,"LINESTRING (260118.72661753534 665395.325393813, 260100.84923568345 665398.431786518)",4e3a458f-1111-4839-8dd9-4a2658c3f0ba,Transport,Modified Attributes,Cathedral Square,,Average And Indicative Speed,2023-09-29,,,Local Road,['8010573'],18.142,,,Basemap,,,,2023-08-17,48,30,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Field Survey,Automated Process,Field Survey,Automated Process,,Automated Process,Field Survey,Automated Process,Automated Process,26.7,23.0,Automated Process,Automated Process,Automated Process,28.8,Desk-Based,4.0,22.2,5.8,26.7,22.9,27.2,24.0,24.9,25.3,24.9,26.2,26.7,23.0,28.8,4.0,22.2,18.2,26.7,22.9,34.4,24.0,24.9,25.3,24.9,26.2,100.34674992975025,300.4210538036269,GHSR
5,"LINESTRING (259995.23322450288 665419.2126286007, 259996.10747102238 665419.128648292, 259996.11998597533 665419.1282433367, 260013.848603428 665417.4296520484)",58dc2198-881a-49af-860b-563f2e9c36f6,Transport,Modified Attributes,Rottenrow East,,Average And Indicative Speed,2023-09-29,,,Restricted Local Access Road,['8011329'],18.702,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,2018-02-25,Automated Process,Automated Process,Automated Process,Automated Process,,,Automated Process,Automated Process,Automated Process,,Field Survey,,,,,,,,,,,,21.6,18.2,23.8,21.2,18.5,21.1,20.1,21.2,12.9,18.0,19.6,17.9,18.2,20.9,67.91353879060216,6.960461341146299,GHSR
6,"LINESTRING (260004.73011241766 665298.4221958098, 260004.02319992307 665293.6110398198)",59e5378b-56c5-4936-b003-6f6cd2d09969,Transport,Modified Attributes,Burrells Lane,,Average And Indicative Speed,2023-09-29,,,Local Road,['8006865'],4.862,Burrell's Lane,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,Automated Process,2018-02-25,Field Survey,Automated Process,Automated Process,Automated Process,17.9,23.0,Automated Process,Automated Process,Automated Process,28.8,Field Survey,25.8,22.2,26.1,26.7,21.9,23.2,24.0,24.9,25.3,24.9,26.2,17.9,23.0,28.8,25.8,22.2,26.1,26.7,21.9,23.2,24.0,24.9,25.3,24.9,26.2,51.79899778616346,190.56575882575677,GHSR
7,"LINESTRING (259942.85020190867 665427.4350097349, 259995.23322450288 665419.2126286007)",5c6c2403-7509-4834-b97d-2512a979aa6a,Transport,Modified Attributes,Rottenrow East,,Average And Indicative Speed,2023-09-29,,,Restricted Local Access Road,['8011329'],53.024,,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Automated Process,Field Survey,Automated Process,Field Survey,2018-02-25,Field Survey,Automated Process,Field Survey,Automated Process,,,Automated Process,Field Survey,Automated Process,,Field Survey,,,,,,,,,,,,3.1,7.2,4.5,17.9,4.2,19.2,5.0,3.4,15.5,6.0,16.3,15.5,3.9,16.3,71.98001637736392,36.783434525668724,GHSR
8,"LINESTRING (260100.84923568345 665398.431786518, 260095.84785820695 665389.4378148834, 260089.8511680613 665381.4339263446, 260080.85202570533 665371.4331350843, 260069.8504603908 665363.4351840781, 260058.84885439472 665355.437260496, 260045.84888066124 665347.437170854, 260043.28820673612 665346.3170604268)",68ca5031-b23a-49a4-aa0e-fa6e8efddee2,Transport,Modified Attributes,High Street,,Average And Indicative Speed,2023-11-10,,,A Road,"['8012343', '8012239']",79.013,,,Basemap,,,,2023-08-17,32,20,A8,2023-11-11T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2018-02-25,Field Survey,Field Survey,Field Survey,Field Survey,32.8,35.9,Field Survey,Field Survey,Field Survey,46.7,Field Survey,46.7,39.1,34.9,41.4,31.1,35.7,39.4,44.4,40.9,39.1,39.8,39.3,25.6,47.0,45.2,15.0,45.4,14.5,13.5,7.9,12.7,34.0,7.9,10.1,45.5,30.22753194727351,1.264886460954017,GHSR
9,"LINESTRING (260019.72664335973 665416.1479254359, 260013.848603428 665417.4296520484)",7a6d2021-0b54-4178-b014-733924d18086,Transport,Modified Attributes,Rottenrow East,,Average And Indicative Speed,2023-09-29,,,Local Road,['8011329'],6.017,Rottenrow,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Field Survey,Field Survey,Field Survey,Field Survey,2018-02-25,Field Survey,Field Survey,Field Survey,Field Survey,16.7,24.5,Field Survey,Field Survey,Field Survey,28.8,Field Survey,20.6,21.9,9.7,24.1,28.2,28.0,30.3,24.1,27.7,13.7,20.6,32.2,27.5,28.8,43.3,18.8,9.7,24.1,33.6,34.1,35.6,21.7,20.6,38.3,20.6,66.94490789225792,357.18937393745597,GHSR
10,"LINESTRING (260013.04650419002 665334.5531360434, 260009.853075978 665333.4312394735)",8908cc00-caf9-477d-babc-5a5b7e46db9e,Transport,Modified Attributes,High Street,,Average And Indicative Speed,2023-11-10,,,A Road,"['8012343', '8012239']",3.383,,,Basemap,,,,2023-08-17,32,20,A8,2023-11-11T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2018-02-25,Field Survey,Field Survey,Field Survey,Field Survey,33.2,40.6,Field Survey,Field Survey,Field Survey,56.8,Field Survey,57.3,27.0,40.6,57.9,34.4,30.3,36.9,37.8,48.8,42.8,52.1,56.0,55.2,59.4,55.4,42.3,56.8,53.6,24.5,24.0,41.4,47.5,37.0,34.9,52.1,14.966921817081696,183.90848666129176,GHSR
11,"LINESTRING (260057.76261782605 665407.8447171996, 260019.72664335973 665416.1479254359)",9f7002ec-e85b-4707-ba6d-ea8981d6fb52,Transport,Modified Attributes,Rottenrow East,,Average And Indicative Speed,2023-09-29,,,Local Road,['8011329'],38.928,Rottenrow,,Basemap,,,,2023-08-17,32,20,,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Automated Process,Field Survey,Field Survey,Field Survey,Field Survey,2018-02-25,Field Survey,Field Survey,Field Survey,Field Survey,25.3,17.4,Field Survey,Field Survey,Field Survey,28.8,Field Survey,21.2,8.2,3.5,23.0,20.0,8.2,20.9,16.1,19.6,25.1,29.5,25.3,25.9,28.8,15.1,9.2,3.5,16.1,16.4,17.5,24.3,16.1,17.1,27.5,29.5,66.48142107932061,340.75958075398114,GHSR
12,"LINESTRING (260117.12762515637 665479.7497266686, 260117.84938351426 665472.430803615, 260117.8532690592 665457.4385227282, 260117.85162957228 665443.4377297651, 260115.8505299139 665434.4358475098, 260113.84833483273 665424.4315541475, 260111.84939892267 665417.4344977075, 260105.8476831861 665404.4296543616, 260100.84923568345 665398.431786518)",bee15bcd-f80c-4088-bb4d-f7bc9a41e515,Transport,Modified Attributes,Castle Street,,Average And Indicative Speed,2023-09-29,,,A Road,"['8012239', '8006891']",85.177,,,Basemap,,,,2023-08-17,48,30,A8,2023-09-30T00:00:00Z,,Basemap,2023-05-09,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,Field Survey,2015-05-19,Field Survey,Field Survey,Field Survey,Field Survey,40.1,33.0,Field Survey,Field Survey,Field Survey,36.1,Desk-Based,38.6,20.1,29.0,37.8,20.6,35.6,15.1,37.3,29.9,34.9,35.2,7.7,4.5,8.2,16.3,4.8,16.6,4.2,4.0,4.2,5.3,9.2,3.2,4.4,7.4,100.34674992975025,268.04765535382944,GHSR
